timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:09:09.788, 19 %, 3 %, 5751 MiB, 46068 MiB, 60, 101.40 W
2025/07/17 15:09:09.788, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 68.42 W
2025/07/17 15:09:09.789, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 51.71 W
2025/07/17 15:09:10.789, 8 %, 1 %, 5751 MiB, 46068 MiB, 60, 101.18 W
2025/07/17 15:09:10.789, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 63.55 W
2025/07/17 15:09:10.789, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 64.39 W
2025/07/17 15:09:11.789, 38 %, 5 %, 5751 MiB, 46068 MiB, 60, 104.03 W
2025/07/17 15:09:11.789, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 45.56 W
2025/07/17 15:09:11.790, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 45.85 W
2025/07/17 15:09:12.790, 4 %, 1 %, 5751 MiB, 46068 MiB, 60, 100.26 W
2025/07/17 15:09:12.790, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 15:09:12.790, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.88 W
2025/07/17 15:09:13.790, 4 %, 1 %, 5751 MiB, 46068 MiB, 60, 98.78 W
2025/07/17 15:09:13.790, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.70 W
2025/07/17 15:09:13.790, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:14.790, 28 %, 5 %, 5751 MiB, 46068 MiB, 60, 106.81 W
2025/07/17 15:09:14.790, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 15:09:14.790, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:15.790, 8 %, 0 %, 5751 MiB, 46068 MiB, 60, 100.39 W
2025/07/17 15:09:15.790, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 15:09:15.790, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:16.791, 0 %, 0 %, 5751 MiB, 46068 MiB, 60, 99.23 W
2025/07/17 15:09:16.791, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 15:09:16.791, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:17.791, 0 %, 0 %, 5751 MiB, 46068 MiB, 60, 100.43 W
2025/07/17 15:09:17.791, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 15:09:17.791, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:18.791, 25 %, 4 %, 5751 MiB, 46068 MiB, 60, 102.38 W
2025/07/17 15:09:18.791, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.71 W
2025/07/17 15:09:18.791, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:19.791, 14 %, 1 %, 5751 MiB, 46068 MiB, 60, 104.25 W
2025/07/17 15:09:19.791, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.71 W
2025/07/17 15:09:19.791, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:09:20.792, 15 %, 3 %, 5751 MiB, 46068 MiB, 60, 100.26 W
