timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 15:12:01.842, 0 %, 0 %, 5791 MiB, 46068 MiB, 61, 98.23 W
2025/07/17 15:12:01.843, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.73 W
2025/07/17 15:12:01.843, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.80 W
2025/07/17 15:12:02.844, 5 %, 1 %, 5791 MiB, 46068 MiB, 61, 104.44 W
2025/07/17 15:12:02.844, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.84 W
2025/07/17 15:12:02.844, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.80 W
2025/07/17 15:12:03.844, 15 %, 2 %, 5791 MiB, 46068 MiB, 61, 108.07 W
2025/07/17 15:12:03.844, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:03.844, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.78 W
2025/07/17 15:12:04.844, 4 %, 1 %, 5791 MiB, 46068 MiB, 61, 105.69 W
2025/07/17 15:12:04.845, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:04.845, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:05.845, 11 %, 2 %, 5791 MiB, 46068 MiB, 61, 103.83 W
2025/07/17 15:12:05.845, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:05.845, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:06.845, 6 %, 1 %, 5791 MiB, 46068 MiB, 61, 102.76 W
2025/07/17 15:12:06.845, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:06.845, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:07.845, 7 %, 1 %, 5791 MiB, 46068 MiB, 61, 102.51 W
2025/07/17 15:12:07.845, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:07.845, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:08.846, 9 %, 2 %, 5791 MiB, 46068 MiB, 62, 105.90 W
2025/07/17 15:12:08.846, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.70 W
2025/07/17 15:12:08.846, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:09.846, 0 %, 0 %, 5791 MiB, 46068 MiB, 61, 102.53 W
2025/07/17 15:12:09.846, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.70 W
2025/07/17 15:12:09.846, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:10.846, 7 %, 1 %, 5791 MiB, 46068 MiB, 61, 105.84 W
2025/07/17 15:12:10.846, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:10.846, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:11.846, 8 %, 2 %, 5791 MiB, 46068 MiB, 62, 105.56 W
2025/07/17 15:12:11.846, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:11.847, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:12.847, 9 %, 3 %, 5791 MiB, 46068 MiB, 62, 100.90 W
2025/07/17 15:12:12.847, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:12.847, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:13.847, 8 %, 2 %, 5791 MiB, 46068 MiB, 62, 108.28 W
2025/07/17 15:12:13.847, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:13.847, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.81 W
2025/07/17 15:12:14.847, 12 %, 3 %, 5791 MiB, 46068 MiB, 62, 106.55 W
2025/07/17 15:12:14.847, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:14.847, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.81 W
2025/07/17 15:12:15.847, 0 %, 0 %, 5791 MiB, 46068 MiB, 62, 107.23 W
2025/07/17 15:12:15.848, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:15.848, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:16.848, 8 %, 2 %, 5791 MiB, 46068 MiB, 62, 109.66 W
2025/07/17 15:12:16.848, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:16.848, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:17.848, 0 %, 0 %, 5791 MiB, 46068 MiB, 62, 106.31 W
2025/07/17 15:12:17.848, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:17.848, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:18.848, 13 %, 2 %, 5791 MiB, 46068 MiB, 62, 101.19 W
2025/07/17 15:12:18.848, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:18.848, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:19.849, 0 %, 0 %, 5791 MiB, 46068 MiB, 62, 105.37 W
2025/07/17 15:12:19.849, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:19.849, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 15:12:20.849, 14 %, 2 %, 5791 MiB, 46068 MiB, 62, 113.14 W
2025/07/17 15:12:20.849, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:20.849, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 15:12:21.849, 4 %, 1 %, 5791 MiB, 46068 MiB, 62, 103.59 W
2025/07/17 15:12:21.850, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.83 W
2025/07/17 15:12:21.850, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 15:12:22.850, 12 %, 4 %, 5791 MiB, 46068 MiB, 62, 100.98 W
