timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:49:00.744, 0 %, 0 %, 3947 MiB, 46068 MiB, 60, 97.31 W
2025/07/17 14:49:00.745, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.86 W
2025/07/17 14:49:00.745, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.55 W
2025/07/17 14:49:01.746, 7 %, 2 %, 4459 MiB, 46068 MiB, 60, 101.78 W
2025/07/17 14:49:01.746, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.84 W
2025/07/17 14:49:01.746, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.52 W
2025/07/17 14:49:02.746, 12 %, 2 %, 4459 MiB, 46068 MiB, 60, 103.49 W
2025/07/17 14:49:02.746, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:49:02.746, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.62 W
2025/07/17 14:49:03.746, 16 %, 2 %, 4587 MiB, 46068 MiB, 61, 107.43 W
2025/07/17 14:49:03.746, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:03.746, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:49:04.746, 15 %, 2 %, 4715 MiB, 46068 MiB, 61, 109.19 W
2025/07/17 14:49:04.747, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:04.747, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.50 W
2025/07/17 14:49:05.747, 8 %, 1 %, 4715 MiB, 46068 MiB, 60, 102.75 W
2025/07/17 14:49:05.747, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:05.747, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:49:06.747, 0 %, 0 %, 4715 MiB, 46068 MiB, 60, 105.91 W
2025/07/17 14:49:06.747, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:49:06.747, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 14:49:07.747, 41 %, 4 %, 5355 MiB, 46068 MiB, 62, 114.29 W
2025/07/17 14:49:07.748, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.80 W
2025/07/17 14:49:07.748, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:49:08.748, 0 %, 0 %, 5483 MiB, 46068 MiB, 61, 105.87 W
2025/07/17 14:49:08.748, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.68 W
2025/07/17 14:49:08.748, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.50 W
2025/07/17 14:49:09.748, 1 %, 0 %, 5483 MiB, 46068 MiB, 61, 101.29 W
2025/07/17 14:49:09.748, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:09.748, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:49:10.748, 0 %, 0 %, 5483 MiB, 46068 MiB, 61, 103.18 W
2025/07/17 14:49:10.748, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:10.748, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:49:11.748, 0 %, 0 %, 5483 MiB, 46068 MiB, 61, 100.91 W
2025/07/17 14:49:11.749, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:49:11.749, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:49:12.749, 4 %, 1 %, 5483 MiB, 46068 MiB, 61, 98.87 W
