timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:44:39.517, 0 %, 0 %, 3717 MiB, 46068 MiB, 62, 99.36 W
2025/07/17 14:44:39.517, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.98 W
2025/07/17 14:44:39.518, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.67 W
2025/07/17 14:44:40.518, 3 %, 1 %, 3717 MiB, 46068 MiB, 62, 101.20 W
2025/07/17 14:44:40.519, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.96 W
2025/07/17 14:44:40.519, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.77 W
2025/07/17 14:44:41.519, 4 %, 1 %, 3717 MiB, 46068 MiB, 63, 108.97 W
2025/07/17 14:44:41.519, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.95 W
2025/07/17 14:44:41.519, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:42.519, 82 %, 15 %, 3717 MiB, 46068 MiB, 63, 117.82 W
2025/07/17 14:44:42.519, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 14:44:42.519, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.91 W
2025/07/17 14:44:43.519, 20 %, 5 %, 3717 MiB, 46068 MiB, 63, 114.25 W
2025/07/17 14:44:43.519, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.81 W
2025/07/17 14:44:43.519, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.91 W
2025/07/17 14:44:44.519, 4 %, 1 %, 3717 MiB, 46068 MiB, 63, 114.54 W
2025/07/17 14:44:44.520, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.95 W
2025/07/17 14:44:44.520, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:45.520, 4 %, 1 %, 3717 MiB, 46068 MiB, 63, 107.40 W
2025/07/17 14:44:45.520, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:44:45.520, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:46.520, 0 %, 0 %, 3717 MiB, 46068 MiB, 63, 114.69 W
2025/07/17 14:44:46.520, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:44:46.520, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:47.520, 4 %, 1 %, 3717 MiB, 46068 MiB, 63, 104.97 W
2025/07/17 14:44:47.520, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:44:47.520, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:48.520, 36 %, 6 %, 3717 MiB, 46068 MiB, 63, 107.94 W
2025/07/17 14:44:48.521, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.94 W
2025/07/17 14:44:48.521, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.87 W
2025/07/17 14:44:49.521, 0 %, 0 %, 3717 MiB, 46068 MiB, 63, 114.84 W
2025/07/17 14:44:49.521, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.94 W
2025/07/17 14:44:49.521, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.87 W
2025/07/17 14:44:50.521, 0 %, 0 %, 3701 MiB, 46068 MiB, 63, 109.50 W
2025/07/17 14:44:50.521, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:44:50.521, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:44:51.521, 31 %, 6 %, 3701 MiB, 46068 MiB, 63, 118.82 W
