timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:41:43.319, 0 %, 0 %, 3685 MiB, 46068 MiB, 61, 97.84 W
2025/07/17 14:41:43.319, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.87 W
2025/07/17 14:41:43.320, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.55 W
2025/07/17 14:41:44.320, 8 %, 2 %, 3685 MiB, 46068 MiB, 61, 105.78 W
2025/07/17 14:41:44.320, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.84 W
2025/07/17 14:41:44.320, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.53 W
2025/07/17 14:41:45.320, 81 %, 19 %, 3685 MiB, 46068 MiB, 62, 115.05 W
2025/07/17 14:41:45.321, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:41:45.321, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:41:46.321, 38 %, 9 %, 3685 MiB, 46068 MiB, 61, 116.38 W
2025/07/17 14:41:46.321, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:41:46.321, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:41:47.321, 9 %, 2 %, 3685 MiB, 46068 MiB, 61, 109.06 W
2025/07/17 14:41:47.321, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:41:47.321, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:41:48.322, 48 %, 11 %, 3685 MiB, 46068 MiB, 62, 105.78 W
2025/07/17 14:41:48.322, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:48.322, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:41:49.322, 29 %, 7 %, 3685 MiB, 46068 MiB, 61, 112.99 W
2025/07/17 14:41:49.322, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:49.322, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.62 W
2025/07/17 14:41:50.322, 36 %, 8 %, 3685 MiB, 46068 MiB, 61, 116.19 W
2025/07/17 14:41:50.322, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:50.322, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 14:41:51.322, 22 %, 5 %, 3685 MiB, 46068 MiB, 61, 106.59 W
2025/07/17 14:41:51.322, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:51.322, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 14:41:52.323, 0 %, 0 %, 3685 MiB, 46068 MiB, 61, 103.74 W
2025/07/17 14:41:52.323, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:52.323, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.74 W
2025/07/17 14:41:53.323, 4 %, 1 %, 3685 MiB, 46068 MiB, 61, 104.05 W
2025/07/17 14:41:53.323, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:53.323, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:41:54.323, 5 %, 2 %, 3685 MiB, 46068 MiB, 61, 105.06 W
2025/07/17 14:41:54.323, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:54.323, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:41:55.323, 22 %, 5 %, 3685 MiB, 46068 MiB, 61, 111.93 W
2025/07/17 14:41:55.324, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:55.324, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.68 W
2025/07/17 14:41:56.324, 14 %, 4 %, 3669 MiB, 46068 MiB, 62, 130.53 W
2025/07/17 14:41:56.324, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:41:56.324, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.78 W
2025/07/17 14:41:57.324, 20 %, 4 %, 3797 MiB, 46068 MiB, 62, 124.18 W
2025/07/17 14:41:57.324, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.92 W
2025/07/17 14:41:57.324, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:41:58.324, 48 %, 11 %, 3797 MiB, 46068 MiB, 62, 119.19 W
2025/07/17 14:41:58.324, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:41:58.324, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:41:59.324, 0 %, 0 %, 3797 MiB, 46068 MiB, 62, 123.31 W
2025/07/17 14:41:59.325, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:41:59.325, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:42:00.325, 10 %, 3 %, 3797 MiB, 46068 MiB, 62, 102.00 W
2025/07/17 14:42:00.325, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:42:00.325, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:42:01.325, 12 %, 3 %, 3797 MiB, 46068 MiB, 62, 117.59 W
2025/07/17 14:42:01.325, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:01.325, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:42:02.325, 79 %, 20 %, 3797 MiB, 46068 MiB, 63, 123.14 W
2025/07/17 14:42:02.325, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:02.325, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.62 W
2025/07/17 14:42:03.326, 0 %, 0 %, 3781 MiB, 46068 MiB, 62, 140.35 W
2025/07/17 14:42:03.326, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:42:03.326, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.60 W
2025/07/17 14:42:04.326, 3 %, 0 %, 3781 MiB, 46068 MiB, 62, 102.39 W
2025/07/17 14:42:04.326, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:04.326, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.61 W
2025/07/17 14:42:05.326, 14 %, 3 %, 3781 MiB, 46068 MiB, 62, 106.33 W
2025/07/17 14:42:05.326, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.95 W
2025/07/17 14:42:05.326, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:42:06.326, 57 %, 13 %, 3781 MiB, 46068 MiB, 62, 114.98 W
2025/07/17 14:42:06.340, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:06.340, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.50 W
2025/07/17 14:42:07.340, 8 %, 2 %, 3765 MiB, 46068 MiB, 62, 125.89 W
2025/07/17 14:42:07.340, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.92 W
2025/07/17 14:42:07.340, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.48 W
2025/07/17 14:42:08.340, 9 %, 2 %, 3765 MiB, 46068 MiB, 62, 105.29 W
2025/07/17 14:42:08.340, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:08.340, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.49 W
2025/07/17 14:42:09.340, 8 %, 2 %, 3765 MiB, 46068 MiB, 62, 102.17 W
2025/07/17 14:42:09.340, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 32.06 W
2025/07/17 14:42:09.340, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:42:10.340, 15 %, 4 %, 3765 MiB, 46068 MiB, 62, 100.97 W
2025/07/17 14:42:10.341, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.95 W
2025/07/17 14:42:10.341, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:42:11.341, 11 %, 0 %, 3765 MiB, 46068 MiB, 62, 102.07 W
2025/07/17 14:42:11.341, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:42:11.341, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.51 W
2025/07/17 14:42:12.341, 13 %, 4 %, 3765 MiB, 46068 MiB, 62, 105.26 W
2025/07/17 14:42:12.341, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:42:12.341, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.50 W
2025/07/17 14:42:13.341, 5 %, 2 %, 3765 MiB, 46068 MiB, 62, 103.20 W
2025/07/17 14:42:13.341, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:42:13.342, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.62 W
2025/07/17 14:42:14.342, 88 %, 20 %, 3761 MiB, 46068 MiB, 63, 120.67 W
2025/07/17 14:42:14.342, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:42:14.342, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.63 W
2025/07/17 14:42:15.342, 16 %, 4 %, 3749 MiB, 46068 MiB, 62, 138.38 W
2025/07/17 14:42:15.342, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:42:15.342, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.72 W
2025/07/17 14:42:16.342, 0 %, 0 %, 3749 MiB, 46068 MiB, 62, 113.70 W
2025/07/17 14:42:16.342, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:16.342, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.85 W
2025/07/17 14:42:17.342, 24 %, 5 %, 3749 MiB, 46068 MiB, 62, 112.66 W
2025/07/17 14:42:17.343, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:42:17.343, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:42:18.343, 73 %, 17 %, 3749 MiB, 46068 MiB, 63, 119.33 W
2025/07/17 14:42:18.343, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:42:18.343, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:42:19.343, 0 %, 0 %, 3733 MiB, 46068 MiB, 62, 116.89 W
2025/07/17 14:42:19.343, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 32.04 W
2025/07/17 14:42:19.343, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.76 W
2025/07/17 14:42:20.343, 0 %, 0 %, 3733 MiB, 46068 MiB, 62, 103.34 W
2025/07/17 14:42:20.343, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.95 W
2025/07/17 14:42:20.343, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.65 W
2025/07/17 14:42:21.343, 0 %, 0 %, 3733 MiB, 46068 MiB, 62, 99.26 W
2025/07/17 14:42:21.344, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.86 W
2025/07/17 14:42:21.344, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.55 W
2025/07/17 14:42:22.344, 0 %, 0 %, 3733 MiB, 46068 MiB, 62, 98.96 W
2025/07/17 14:42:22.344, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.87 W
2025/07/17 14:42:22.344, 0 %, 0 %, 3 MiB, 46068 MiB, 38, 32.68 W
2025/07/17 14:42:23.344, 0 %, 0 %, 3733 MiB, 46068 MiB, 62, 98.75 W
2025/07/17 14:42:23.344, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.87 W
