timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:46:04.448, 0 %, 0 %, 3765 MiB, 46068 MiB, 63, 99.82 W
2025/07/17 14:46:04.448, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.97 W
2025/07/17 14:46:04.449, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.80 W
2025/07/17 14:46:05.449, 17 %, 3 %, 3979 MiB, 46068 MiB, 63, 108.39 W
2025/07/17 14:46:05.449, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.86 W
2025/07/17 14:46:05.449, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.88 W
2025/07/17 14:46:06.449, 27 %, 5 %, 3979 MiB, 46068 MiB, 63, 108.72 W
2025/07/17 14:46:06.450, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 31.97 W
2025/07/17 14:46:06.450, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.91 W
2025/07/17 14:46:07.450, 86 %, 16 %, 3979 MiB, 46068 MiB, 65, 131.06 W
2025/07/17 14:46:07.450, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.06 W
2025/07/17 14:46:07.450, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.78 W
2025/07/17 14:46:08.450, 47 %, 12 %, 3979 MiB, 46068 MiB, 64, 121.68 W
2025/07/17 14:46:08.450, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.03 W
2025/07/17 14:46:08.450, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 14:46:09.450, 18 %, 3 %, 3979 MiB, 46068 MiB, 64, 108.68 W
2025/07/17 14:46:09.450, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.04 W
2025/07/17 14:46:09.450, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 14:46:10.450, 13 %, 1 %, 3979 MiB, 46068 MiB, 64, 108.17 W
2025/07/17 14:46:10.450, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:46:10.450, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.87 W
2025/07/17 14:46:11.451, 18 %, 3 %, 3979 MiB, 46068 MiB, 64, 107.52 W
2025/07/17 14:46:11.451, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:46:11.451, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.80 W
2025/07/17 14:46:12.451, 62 %, 11 %, 3979 MiB, 46068 MiB, 64, 113.07 W
2025/07/17 14:46:12.451, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:46:12.451, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.79 W
2025/07/17 14:46:13.451, 59 %, 10 %, 3979 MiB, 46068 MiB, 64, 114.60 W
2025/07/17 14:46:13.451, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:46:13.451, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.74 W
2025/07/17 14:46:14.451, 11 %, 2 %, 3963 MiB, 46068 MiB, 64, 108.06 W
2025/07/17 14:46:14.451, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.07 W
2025/07/17 14:46:14.451, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
2025/07/17 14:46:15.452, 11 %, 2 %, 3963 MiB, 46068 MiB, 64, 114.76 W
2025/07/17 14:46:15.452, 0 %, 0 %, 3 MiB, 46068 MiB, 35, 32.18 W
2025/07/17 14:46:15.452, 0 %, 0 %, 3 MiB, 46068 MiB, 39, 32.76 W
