timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:34:54.008, 0 %, 0 %, 3535 MiB, 46068 MiB, 59, 96.34 W
2025/07/17 14:34:54.009, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 32.35 W
2025/07/17 14:34:54.009, 0 %, 0 %, 3 MiB, 46068 MiB, 36, 32.41 W
2025/07/17 14:34:55.010, 65 %, 12 %, 3665 MiB, 46068 MiB, 60, 113.95 W
2025/07/17 14:34:55.010, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 32.31 W
2025/07/17 14:34:55.010, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 48.14 W
2025/07/17 14:34:56.010, 14 %, 2 %, 3665 MiB, 46068 MiB, 59, 108.43 W
2025/07/17 14:34:56.010, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.80 W
2025/07/17 14:34:56.010, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 63.91 W
2025/07/17 14:34:57.010, 32 %, 6 %, 3665 MiB, 46068 MiB, 60, 112.64 W
2025/07/17 14:34:57.010, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:34:57.010, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 48.53 W
2025/07/17 14:34:58.010, 48 %, 9 %, 3665 MiB, 46068 MiB, 59, 110.56 W
2025/07/17 14:34:58.010, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:34:58.010, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.62 W
2025/07/17 14:34:59.011, 0 %, 0 %, 3665 MiB, 46068 MiB, 59, 102.33 W
2025/07/17 14:34:59.011, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:34:59.011, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.27 W
2025/07/17 14:35:00.011, 12 %, 3 %, 3665 MiB, 46068 MiB, 59, 103.23 W
2025/07/17 14:35:00.011, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:00.011, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:01.011, 15 %, 3 %, 3665 MiB, 46068 MiB, 59, 102.47 W
2025/07/17 14:35:01.011, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:01.011, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:02.011, 4 %, 1 %, 3665 MiB, 46068 MiB, 59, 102.91 W
2025/07/17 14:35:02.011, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:02.011, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.44 W
2025/07/17 14:35:03.012, 77 %, 15 %, 3661 MiB, 46068 MiB, 60, 120.07 W
2025/07/17 14:35:03.012, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:35:03.012, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.43 W
2025/07/17 14:35:04.012, 87 %, 17 %, 3649 MiB, 46068 MiB, 60, 112.60 W
2025/07/17 14:35:04.012, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:35:04.012, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.25 W
2025/07/17 14:35:05.012, 46 %, 8 %, 3649 MiB, 46068 MiB, 60, 117.17 W
2025/07/17 14:35:05.012, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:35:05.012, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.38 W
2025/07/17 14:35:06.012, 7 %, 1 %, 3649 MiB, 46068 MiB, 59, 111.54 W
2025/07/17 14:35:06.013, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:35:06.013, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.56 W
2025/07/17 14:35:07.013, 32 %, 6 %, 3649 MiB, 46068 MiB, 60, 110.49 W
2025/07/17 14:35:07.013, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:07.013, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.56 W
2025/07/17 14:35:08.013, 81 %, 15 %, 3649 MiB, 46068 MiB, 60, 116.49 W
2025/07/17 14:35:08.013, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:08.013, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:09.014, 0 %, 0 %, 3649 MiB, 46068 MiB, 60, 111.55 W
2025/07/17 14:35:09.014, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:09.014, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.27 W
2025/07/17 14:35:10.014, 7 %, 1 %, 3649 MiB, 46068 MiB, 59, 101.84 W
2025/07/17 14:35:10.014, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:10.014, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:11.014, 4 %, 1 %, 3649 MiB, 46068 MiB, 60, 113.24 W
2025/07/17 14:35:11.014, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.81 W
2025/07/17 14:35:11.014, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.37 W
2025/07/17 14:35:12.014, 90 %, 18 %, 3641 MiB, 46068 MiB, 61, 127.72 W
2025/07/17 14:35:12.015, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.80 W
2025/07/17 14:35:12.015, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.61 W
2025/07/17 14:35:13.015, 7 %, 1 %, 3641 MiB, 46068 MiB, 60, 104.49 W
2025/07/17 14:35:13.015, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:35:13.015, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.63 W
2025/07/17 14:35:14.015, 11 %, 1 %, 3637 MiB, 46068 MiB, 60, 106.32 W
2025/07/17 14:35:14.015, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:14.015, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:15.015, 8 %, 2 %, 3637 MiB, 46068 MiB, 60, 101.51 W
2025/07/17 14:35:15.015, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:15.015, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.39 W
2025/07/17 14:35:16.015, 4 %, 1 %, 3637 MiB, 46068 MiB, 60, 101.05 W
2025/07/17 14:35:16.016, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:35:16.016, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.27 W
2025/07/17 14:35:17.016, 55 %, 11 %, 3621 MiB, 46068 MiB, 60, 112.54 W
2025/07/17 14:35:17.016, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:35:17.016, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.38 W
2025/07/17 14:35:18.016, 0 %, 0 %, 3609 MiB, 46068 MiB, 60, 107.88 W
