timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/07/17 14:40:24.658, 0 %, 0 %, 3749 MiB, 46068 MiB, 59, 96.83 W
2025/07/17 14:40:24.658, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.86 W
2025/07/17 14:40:24.659, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.55 W
2025/07/17 14:40:25.659, 19 %, 5 %, 3749 MiB, 46068 MiB, 60, 99.12 W
2025/07/17 14:40:25.659, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.95 W
2025/07/17 14:40:25.659, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.53 W
2025/07/17 14:40:26.659, 34 %, 8 %, 3749 MiB, 46068 MiB, 60, 113.53 W
2025/07/17 14:40:26.659, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.93 W
2025/07/17 14:40:26.659, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.62 W
2025/07/17 14:40:27.659, 20 %, 4 %, 3749 MiB, 46068 MiB, 60, 104.64 W
2025/07/17 14:40:27.660, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:40:27.660, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.62 W
2025/07/17 14:40:28.660, 13 %, 3 %, 3749 MiB, 46068 MiB, 60, 109.80 W
2025/07/17 14:40:28.660, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:40:28.660, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
2025/07/17 14:40:29.660, 36 %, 8 %, 3749 MiB, 46068 MiB, 60, 106.97 W
2025/07/17 14:40:29.660, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:40:29.660, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.38 W
2025/07/17 14:40:30.660, 14 %, 3 %, 3749 MiB, 46068 MiB, 60, 112.09 W
2025/07/17 14:40:30.660, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.82 W
2025/07/17 14:40:30.660, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.38 W
2025/07/17 14:40:31.660, 8 %, 2 %, 3749 MiB, 46068 MiB, 60, 111.43 W
2025/07/17 14:40:31.661, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:40:31.661, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
2025/07/17 14:40:32.661, 16 %, 4 %, 3749 MiB, 46068 MiB, 60, 105.75 W
2025/07/17 14:40:32.661, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:40:32.661, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
2025/07/17 14:40:33.661, 11 %, 3 %, 3749 MiB, 46068 MiB, 60, 103.10 W
2025/07/17 14:40:33.661, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.94 W
2025/07/17 14:40:33.661, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
2025/07/17 14:40:34.661, 8 %, 2 %, 3749 MiB, 46068 MiB, 60, 108.11 W
2025/07/17 14:40:34.661, 0 %, 0 %, 3 MiB, 46068 MiB, 34, 31.83 W
2025/07/17 14:40:34.661, 0 %, 0 %, 3 MiB, 46068 MiB, 37, 32.51 W
