test_name,gpu_enabled,execution_time_ms
simple_scan,on,530.164,run1
simple_scan,on,338.423,run2
simple_scan,on,241.380,run3
simple_scan,on,216.967,run4
simple_scan,on,223.593,run5
simple_scan,on,174.076,run6
simple_scan,on,158.676,run7
simple_scan,on,131.351,run8
simple_scan,off,685.448,run1
simple_scan,off,672.899,run2
simple_scan,off,674.127,run3
simple_scan,off,671.561,run4
simple_scan,off,672.223,run5
simple_scan,off,671.533,run6
simple_scan,off,672.753,run7
simple_scan,off,670.583,run8
subset_join,on,257.978,run1
subset_join,on,239.646,run2
subset_join,on,237.268,run3
subset_join,on,249.081,run4
subset_join,on,245.029,run5
subset_join,on,247.527,run6
subset_join,on,247.798,run7
subset_join,on,243.848,run8
subset_join,off,2334.739,run1
subset_join,off,2313.469,run2
subset_join,off,2333.981,run3
subset_join,off,2325.310,run4
subset_join,off,2400.771,run5
subset_join,off,2390.620,run6
subset_join,off,2371.741,run7
subset_join,off,2329.986,run8
large_join,on,1541.411,run1
large_join,on,1224.787,run2
large_join,on,1222.173,run3
large_join,on,1240.363,run4
large_join,on,1251.292,run5
large_join,on,1231.968,run6
large_join,on,1202.629,run7
large_join,on,1184.459,run8
large_join,off,2923.399,run1
large_join,off,2884.625,run2
large_join,off,2898.714,run3
large_join,off,2863.067,run4
large_join,off,2962.489,run5
large_join,off,2882.229,run6
large_join,off,2846.364,run7
large_join,off,2999.768,run8
simple_math,on,343.302,run1
simple_math,on,152.949,run2
simple_math,on,162.006,run3
simple_math,on,155.416,run4
simple_math,on,160.827,run5
simple_math,on,158.970,run6
simple_math,on,165.081,run7
simple_math,on,162.353,run8
simple_math,off,1462.560,run1
simple_math,off,1459.560,run2
simple_math,off,1461.342,run3
simple_math,off,1459.261,run4
simple_math,off,1458.877,run5
simple_math,off,1460.394,run6
simple_math,off,1453.568,run7
simple_math,off,1456.482,run8
complex_math,on,1533.020,run1
complex_math,on,1432.801,run2
complex_math,on,1401.794,run3
complex_math,on,1620.178,run4
complex_math,on,1555.609,run5
complex_math,on,1392.385,run6
complex_math,on,1615.806,run7
complex_math,on,1499.008,run8
complex_math,off,1779.796,run1
complex_math,off,1761.719,run2
complex_math,off,1782.655,run3
complex_math,off,1785.007,run4
complex_math,off,1772.923,run5
complex_math,off,1761.045,run6
complex_math,off,1766.767,run7
complex_math,off,1760.760,run8
simple_ops,on,162.168,run1
simple_ops,on,156.156,run2
simple_ops,on,158.384,run3
simple_ops,on,158.628,run4
simple_ops,on,162.989,run5
simple_ops,on,158.578,run6
simple_ops,on,161.437,run7
simple_ops,on,162.266,run8
simple_ops,off,1243.757,run1
simple_ops,off,1246.694,run2
simple_ops,off,1247.942,run3
simple_ops,off,1233.090,run4
simple_ops,off,1233.347,run5
simple_ops,off,1247.081,run6
simple_ops,off,1248.622,run7
simple_ops,off,1239.721,run8
